market_id,symbol,archetype,relevance,split,entry_date,entry_prob,entry_price,exit_date,exit_price,exit_reason,rf_target,peak_pct,trough_pct,return_pct
1339788,WMT,earnings_beat+direct_company,1.0,val,2026-02-05,0.8,126.94,2026-02-09,130.75,profit_lock_3%,-0.0217,3.75,-0.3,3.0
1339793,ED,earnings_beat+direct_company,1.0,val,2026-02-05,0.735,108.87,2026-02-13,112.14,profit_lock_3%,-0.011,3.72,-2.54,3.0
1339807,DBX,earnings_beat+direct_company,1.0,val,2026-02-05,0.87,24.44,2026-02-09,25.17,profit_lock_3%,0.0363,3.23,-0.08,3.0
1360921,DPZ,earnings_beat+direct_company,0.95,val,2026-02-10,0.775,389.73,2026-02-23,400.36,poly<0.5086309257760945,0.0396,0.27,-4.88,2.73
1360933,WIX,earnings_beat+direct_company,0.95,val,2026-02-14,0.805,68.07,2026-02-19,70.11,profit_lock_3%,-0.0399,3.11,-3.85,3.0
1362778,AS,earnings_beat+direct_company,0.95,val,2026-02-10,0.735,40.2,2026-02-12,41.0,profit_lock_2%,0.0532,2.76,-5.47,2.0
1363711,IMAX,earnings_beat+direct_company,0.95,val,2026-02-16,0.725,37.86,2026-02-20,39.0,profit_lock_3%,-0.0114,3.35,-4.78,3.0
1363712,ZM,earnings_beat+direct_company,0.95,val,2026-02-11,0.82,92.15,2026-02-24,87.51,poly<0.5086309257760945,-0.0156,1.58,-10.16,-5.04
1363713,CRM,earnings_beat+direct_company,0.98,val,2026-02-11,0.795,185.0,2026-02-17,192.4,profit_lock_4%,-0.0177,4.57,-2.57,4.0
1363685,NVDA,earnings_beat+direct_company,1.0,val,2026-02-11,0.865,190.05,2026-02-24,193.85,profit_lock_2%,-0.0068,2.05,-5.72,2.0
1367586,SNOW,earnings_beat+direct_company,0.98,val,2026-02-12,0.8,172.91,2026-02-17,185.01,profit_lock_7%,-0.0191,7.35,-2.15,7.0
1367628,TKO,earnings_beat+direct_company,0.95,val,2026-02-16,0.705,210.14,2026-02-19,214.34,profit_lock_2%,-0.0096,2.12,-1.5,2.0
1369192,IART,earnings_beat+direct_company,1.0,val,2026-02-20,0.765,12.21,2026-02-26,11.33,resolution-1d,-0.0339,0.0,-13.19,-7.21
1369194,TTD,earnings_beat+direct_company,1.0,val,2026-02-12,0.7,26.14,2026-02-17,26.66,profit_lock_2%,-0.0183,2.58,-4.97,2.0
1369345,ADSK,earnings_beat+direct_company,1.0,val,2026-02-12,0.805,223.49,2026-02-17,232.43,profit_lock_4%,-0.0107,4.54,-3.35,4.0
1369346,WDAY,earnings_beat+direct_company,1.0,val,2026-02-12,0.84,144.04,2026-02-17,146.92,profit_lock_2%,-0.01,2.32,-2.87,2.0
1369348,IONQ,earnings_beat+direct_company,1.0,val,2026-02-12,0.695,31.3,2026-02-17,34.43,profit_lock_10%,-0.0429,10.7,-1.44,10.0
1369365,INTU,earnings_beat+direct_company,1.0,val,2026-02-12,0.83,397.96,2026-02-17,405.92,profit_lock_2%,-0.0079,2.37,-5.67,2.0
1369373,DELL,earnings_beat+direct_company,1.0,val,2026-02-12,0.78,112.82,2026-02-17,120.72,profit_lock_7%,-0.0003,7.1,-1.44,7.0
1369645,RKLB,earnings_beat+direct_company,1.0,val,2026-02-19,0.785,76.58,2026-02-23,78.11,profit_lock_2%,-0.0586,2.12,-10.55,2.0
1369669,REAL,earnings_beat+direct_company,1.0,val,2026-02-12,0.7,10.75,2026-02-13,11.45,rf_target,0.0198,0.0,-0.65,6.51
1369670,SHAK,earnings_beat+direct_company,1.0,val,2026-02-12,0.74,88.93,2026-02-18,94.18,rf_target,0.0461,3.0,-2.27,5.9
1369671,FTDR,earnings_beat+direct_company,1.0,val,2026-02-12,0.775,57.14,2026-02-19,58.28,profit_lock_2%,0.0479,2.17,-3.13,2.0
1369679,ICUI,earnings_beat+direct_company,1.0,val,2026-02-12,0.825,142.02,2026-02-17,146.28,profit_lock_3%,-0.0021,3.51,-0.96,3.0
1386999,TBPH,earnings_beat+direct_company,1.0,val,2026-02-22,0.78,19.26,2026-02-25,19.06,resolution-1d,0.0101,1.77,-3.43,-1.04
1387000,URBN,earnings_beat+direct_company,1.0,val,2026-02-21,0.735,65.9,2026-02-25,65.46,resolution-1d,0.075,0.59,-3.63,-0.67
1387001,SPCE,earnings_beat+direct_company,1.0,val,2026-02-21,0.785,2.43,2026-02-25,2.6,profit_lock_7%,-0.0212,7.41,-1.65,7.0
