market_id,symbol,archetype,relevance,split,entry_date,entry_prob,entry_price,exit_date,exit_price,exit_reason,peak_pct,trough_pct,return_pct,spy_return,qqq_return,excess_spy,excess_qqq,holding_days
1466416,XLE,Middle East Oil Supply Risk,0.6,val,2026-02-28,0.95,57.04,2026-03-06,56.57,resolution-1d,1.19,-3.0,-0.82,-2.039686456540979,-1.3715118629056278,1.219686456540979,0.5515118629056278,6
1466418,USO,Middle East Oil Supply Risk,0.72,val,2026-02-28,0.767,87.19,2026-03-04,94.17,profit_lock_8%,8.23,-4.58,8.0,-0.1821148621911628,0.43743081238913906,8.182114862191163,7.562569187610861,4
1466418,XLE,Middle East Oil Supply Risk,0.64,val,2026-02-28,0.767,57.04,2026-03-06,56.57,resolution-1d,1.19,-3.0,-0.82,-2.039686456540979,-1.3715118629056278,1.219686456540979,0.5515118629056278,6
1466419,USO,Middle East Oil Supply Risk,0.675,val,2026-03-01,0.935,87.19,2026-03-04,94.17,profit_lock_8%,8.23,-4.58,8.0,-0.1821148621911628,0.43743081238913906,8.182114862191163,7.562569187610861,3
1466419,XLE,Middle East Oil Supply Risk,0.6,val,2026-03-01,0.935,57.04,2026-03-06,56.57,resolution-1d,1.19,-3.0,-0.82,-2.039686456540979,-1.3715118629056278,1.219686456540979,0.5515118629056278,5
1466425,USO,Middle East Oil Supply Risk,0.675,val,2026-03-01,0.959,87.19,2026-03-04,94.17,profit_lock_8%,8.23,-4.58,8.0,-0.1821148621911628,0.43743081238913906,8.182114862191163,7.562569187610861,3
1466425,XLE,Middle East Oil Supply Risk,0.6,val,2026-03-01,0.959,57.04,2026-03-06,56.57,resolution-1d,1.19,-3.0,-0.82,-2.039686456540979,-1.3715118629056278,1.219686456540979,0.5515118629056278,5
1465975,USO,Middle East Oil Supply Risk,0.72,val,2026-03-03,0.815,90.2,2026-03-09,103.47,trailing_2.5ATR,21.93,-3.18,14.72,-0.3027938657484963,1.0272935437046327,15.022793865748497,13.692706456295369,6
1465975,XLE,Middle East Oil Supply Risk,0.64,val,2026-03-03,0.815,56.52,2026-03-09,56.32,resolution-1d,1.45,-2.11,-0.35,-0.3027938657484963,1.0272935437046327,-0.04720613425150366,-1.3772935437046328,6
1466420,USO,Middle East Oil Supply Risk,0.72,val,2026-03-01,0.988,87.19,2026-03-04,94.17,profit_lock_8%,8.23,-4.58,8.0,-0.1821148621911628,0.43743081238913906,8.182114862191163,7.562569187610861,3
1466420,XLE,Middle East Oil Supply Risk,0.64,val,2026-03-01,0.988,57.04,2026-03-06,56.57,resolution-1d,1.19,-3.0,-0.82,-2.039686456540979,-1.3715118629056278,1.219686456540979,0.5515118629056278,5
1466426,USO,Middle East Oil Supply Risk,0.54,val,2026-03-02,0.925,87.19,2026-03-04,94.17,profit_lock_8%,8.23,-4.58,8.0,-0.1821148621911628,0.43743081238913906,8.182114862191163,7.562569187610861,2
1466421,USO,Middle East Geopolitical Risk - Kuwait Strike,0.63,val,2026-02-28,0.93,87.19,2026-03-04,94.17,profit_lock_8%,8.23,-4.58,8.0,-0.1821148621911628,0.43743081238913906,8.182114862191163,7.562569187610861,4
1628482,USO,Iran-Israel Conflict Oil Impact,0.52,val,2026-03-21,0.8,110.56,2026-03-25,116.09,profit_lock_5%,5.24,-3.72,5.0,0.2197202280627586,-0.03061099928252098,4.780279771937241,5.030610999282521,4
1628483,USO,Iran-Israel Conflict Oil Impact,0.52,val,2026-03-21,0.79,110.56,2026-03-25,116.09,profit_lock_5%,5.24,-3.72,5.0,0.2197202280627586,-0.03061099928252098,4.780279771937241,5.030610999282521,4
