market_id,symbol,archetype,relevance,split,entry_date,entry_prob,entry_price,exit_date,exit_price,exit_reason,rf_target,peak_pct,trough_pct,return_pct
614639,CFG,earnings_beat+direct_company,0.95,train,2025-10-13,0.82,50.25,2025-10-14,51.8,resolution-1d,-0.029,0.0,-1.07,3.08
614644,ABT,earnings_beat+direct_company,0.95,train,2025-09-28,0.775,133.11,2025-10-14,133.27,poly<0.534086556485947,-0.0054,1.76,-3.03,0.12
619541,STT,earnings_beat+direct_company,0.95,train,2025-10-04,0.88,116.9,2025-10-10,111.8,trailing_3.0ATR,-0.0112,1.15,-5.16,-4.36
619556,BLK,earnings_beat+direct_company,0.95,train,2025-10-04,0.865,1179.27,2025-10-13,1155.12,resolution-1d,-0.0125,0.4,-4.06,-2.05
620069,GBCI,earnings_beat+direct_company,0.95,train,2025-10-05,0.78,48.47,2025-10-15,48.02,resolution-1d,-0.0191,2.25,-4.99,-0.93
619549,USB,earnings_beat+direct_company,0.95,train,2025-10-05,0.8,47.72,2025-10-10,45.29,trailing_3.0ATR,-0.0241,1.07,-5.22,-5.09
619852,UNTY,earnings_beat+direct_company,0.95,train,2025-10-04,0.85,49.52,2025-10-09,50.22,resolution-1d,-0.0052,1.35,-3.53,1.41
619857,AZZ,earnings_beat+direct_company,0.95,train,2025-10-04,0.865,106.94,2025-10-07,105.08,resolution-1d,-0.0042,0.0,-2.23,-1.74
619980,RELL,earnings_beat+direct_company,0.95,train,2025-10-05,0.81,9.62,2025-10-07,9.84,rf_target,0.0103,0.0,-1.87,2.29
619983,RGP,earnings_beat+direct_company,0.95,train,2025-10-05,0.81,4.92,2025-10-07,4.85,resolution-1d,-0.005,0.0,-3.66,-1.42
620038,BYRN,earnings_beat+direct_company,0.95,train,2025-10-05,0.81,23.13,2025-10-08,24.06,profit_lock_4%,0.0079,4.06,-6.79,4.0
619984,APLD,earnings_beat+direct_company,0.95,train,2025-10-05,0.825,27.71,2025-10-08,29.1,profit_lock_5%,-0.0532,5.59,-5.05,5.0
620032,NRIX,earnings_beat+direct_company,0.95,train,2025-10-05,0.8,9.95,2025-10-08,9.98,resolution-1d,-0.0181,1.9,-5.23,0.3
619538,KEY,earnings_beat+direct_company,0.98,train,2025-10-09,0.8,18.18,2025-10-15,17.73,resolution-1d,-0.0174,0.44,-5.5,-2.48
619557,TFC,earnings_beat+direct_company,0.98,train,2025-10-08,0.865,44.14,2025-10-16,41.75,trailing_3.0ATR,-0.0266,0.82,-7.61,-5.43
620052,SFBS,earnings_beat+direct_company,0.95,train,2025-10-08,0.91,81.08,2025-10-16,75.79,trailing_3.0ATR,-0.024,0.65,-8.34,-6.53
619560,EFX,earnings_beat+direct_company,0.98,train,2025-10-06,0.88,237.33,2025-10-20,231.12,resolution-1d,-0.0171,2.97,-6.64,-2.62
627451,AXP,earnings_beat+direct_company,0.99,train,2025-10-09,0.79,324.44,2025-10-17,346.62,resolution-1d,-0.0147,3.85,-2.62,6.84
627454,CB,earnings_beat+direct_company,0.98,train,2025-10-08,0.875,287.1,2025-10-15,277.68,trailing_3.0ATR,-0.0156,0.79,-4.09,-3.28
627582,KO,earnings_beat+direct_company,0.99,train,2025-10-08,0.91,66.12,2025-10-10,67.04,rf_target,0.0053,1.03,-0.09,1.39
627587,GM,earnings_beat+direct_company,0.99,train,2025-10-08,0.875,56.4,2025-10-20,58.66,profit_lock_4%,-0.0191,4.91,-3.67,4.0
627649,LMT,earnings_beat+direct_company,1.0,train,2025-10-10,0.81,505.05,2025-10-21,489.5,resolution-1d,-0.0154,0.47,-4.42,-3.08
627652,MAT,earnings_beat+direct_company,1.0,train,2025-10-10,0.785,17.1,2025-10-15,17.96,profit_lock_5%,-0.0147,5.32,-0.88,5.0
627653,NDAQ,earnings_beat+direct_company,1.0,train,2025-10-10,0.86,88.9,2025-10-21,90.33,resolution-1d,-0.0155,1.97,-1.65,1.61
627654,NFLX,earnings_beat+direct_company,1.0,train,2025-10-11,0.855,121.9,2025-10-21,124.14,resolution-1d,-0.0046,2.36,-3.53,1.83
627657,NOC,earnings_beat+direct_company,1.0,train,2025-10-08,0.885,637.95,2025-10-15,609.6,trailing_3.0ATR,-0.0193,0.46,-5.94,-4.44
