objective,universe,split,policy_id,policy,selected,baseline,objective_score,n_trades,n_days,active_days,sharpe,maxdd,calmar,ann_return,net_pct,hit,turnover
return_maxdd,pre_drop,val,p005,"strong>=0.6/conf2d, fixed_trailing@0.05, poly<0.5",False,,0.019430697455783408,24,74,54,1.0674039470995895,0.022688085038119254,2.9852603931908837,0.06772984166164409,0.019430697455783408,0.4166666666666667,8.172972972972973
return_maxdd,pre_drop,train,p006,"strong>=0.6/conf2d, fixed_trailing@0.08, poly<0.5",False,,0.12081715173588536,54,346,165,1.9501628071408026,0.022374222782508335,3.871380413691651,0.08661912785177628,0.12081715173588536,0.7407407407407407,3.932947976878613
return_maxdd,pre_drop,val,p006,"strong>=0.6/conf2d, fixed_trailing@0.08, poly<0.5",False,,0.029381350322000843,19,74,54,1.5343306566032842,0.024584240917273847,4.215703896761575,0.10363988023387671,0.029381350322000843,0.47368421052631576,6.4702702702702695
return_maxdd,pre_drop,train,p007,"strong>=0.6/conf2d, close_vol_trailing@1.5, poly<0.5",False,,0.11711554402429392,60,346,126,1.952093580053908,0.02107428376012932,3.986101949503088,0.08400424358063274,0.11711554402429392,0.65,4.369942196531792
return_maxdd,pre_drop,val,p007,"strong>=0.6/conf2d, close_vol_trailing@1.5, poly<0.5",False,,-0.008064384119285783,25,74,46,-0.3485683434450115,0.05098456036897703,-0.5334387944400026,-0.02719714241828064,-0.008064384119285783,0.24,8.513513513513514
return_maxdd,pre_drop,train,p008,"strong>=0.6/conf2d, close_vol_trailing@2, poly<0.5",False,,0.10915034909429089,57,346,136,1.7879890595641448,0.02107428376012932,3.718725827249974,0.0783694833095876,0.10915034909429089,0.6666666666666666,4.151445086705203
return_maxdd,pre_drop,val,p008,"strong>=0.6/conf2d, close_vol_trailing@2, poly<0.5",False,,0.04029728475105321,22,74,46,1.851784910721211,0.02869612558427792,5.018291748576406,0.14400553023569418,0.04029728475105321,0.36363636363636365,7.491891891891893
return_maxdd,pre_drop,train,p009,"strong>=0.6/conf2d, close_vol_trailing@3, poly<0.5",False,,0.08839477472602719,55,346,158,1.4134344860819914,0.04224147095253794,1.506447646180349,0.06363456448764637,0.08839477472602719,0.6727272727272727,4.005780346820809
return_maxdd,pre_drop,val,p009,"strong>=0.6/conf2d, close_vol_trailing@3, poly<0.5",False,,0.07994101025255573,20,74,53,3.989663842499998,0.010120880786001485,29.581752992307553,0.29939339547608745,0.07994101025255573,0.4,6.8108108108108105
return_maxdd,pre_drop,train,p010,"strong>=0.6/conf2d, none, poly<0.55",False,,0.11640179200474265,52,346,169,1.6934233061028297,0.04149280669803568,2.0123913529191433,0.0834997654074725,0.11640179200474265,0.7692307692307693,3.7872832369942198
return_maxdd,pre_drop,val,p010,"strong>=0.6/conf2d, none, poly<0.55",False,,0.07050871048120277,19,74,43,3.8537511625909127,0.01131902308283994,23.071753732057907,0.261149713054762,0.07050871048120277,0.631578947368421,6.4702702702702695
return_maxdd,pre_drop,train,p011,"strong>=0.6/conf2d, fixed@0.03, poly<0.55",False,,0.0771692964926769,53,346,169,1.2488610881490472,0.04149280669803601,1.3407994626832633,0.05563353292594719,0.0771692964926769,0.6981132075471698,3.860115606936416
return_maxdd,pre_drop,val,p011,"strong>=0.6/conf2d, fixed@0.03, poly<0.55",False,,0.07679969883966042,21,74,60,3.700035025878528,0.014402959651936054,19.896405212277966,0.2865671214910097,0.07679969883966042,0.5714285714285714,7.151351351351352
return_maxdd,pre_drop,train,p012,"strong>=0.6/conf2d, fixed@0.05, poly<0.55",False,,0.08061502815134514,52,346,169,1.2797619677962395,0.04149280669803601,1.4000474763202337,0.058091899303028605,0.08061502815134514,0.7307692307692307,3.7872832369942198
return_maxdd,pre_drop,val,p012,"strong>=0.6/conf2d, fixed@0.05, poly<0.55",False,,0.07098669812448133,21,74,60,3.6024269577507715,0.014402959651936165,18.26488212669589,0.26306836031817094,0.07098669812448133,0.5714285714285714,7.151351351351352
return_maxdd,pre_drop,train,p013,"strong>=0.6/conf2d, fixed@0.08, poly<0.55",False,,0.09109991906464199,52,346,169,1.382412698969379,0.0414928066980359,1.5800163918731593,0.06555931472772114,0.09109991906464199,0.75,3.7872832369942198
return_maxdd,pre_drop,val,p013,"strong>=0.6/conf2d, fixed@0.08, poly<0.55",False,,0.0811109310600262,20,74,60,4.378474826387019,0.010731788468221648,28.345069479322607,0.30419328976913573,0.0811109310600262,0.65,6.8108108108108105
return_maxdd,pre_drop,train,p014,"strong>=0.6/conf2d, fixed_trailing@0.03, poly<0.55",False,,0.0922618027102271,61,346,167,1.789119381255335,0.018297982688505465,3.6280291203399058,0.06638561403737331,0.0922618027102271,0.6557377049180327,4.442774566473988
return_maxdd,pre_drop,val,p014,"strong>=0.6/conf2d, fixed_trailing@0.03, poly<0.55",False,,0.04006420737790273,27,74,55,2.12540453390068,0.020177823334497358,7.09357560937387,0.1431329154558454,0.04006420737790273,0.48148148148148145,9.194594594594594
return_maxdd,pre_drop,train,p015,"strong>=0.6/conf2d, fixed_trailing@0.05, poly<0.55",False,,0.08774670059876533,56,346,167,1.4687602692483568,0.02107428376012943,2.9976467045894686,0.06317325726513534,0.08774670059876533,0.7142857142857143,4.078612716763005
return_maxdd,pre_drop,val,p015,"strong>=0.6/conf2d, fixed_trailing@0.05, poly<0.55",False,,0.026051321549718898,26,74,60,1.3924346544601856,0.022688085038119254,4.0342299154391705,0.09152895138480854,0.026051321549718898,0.5,8.854054054054053
return_maxdd,pre_drop,train,p016,"strong>=0.6/conf2d, fixed_trailing@0.08, poly<0.55",False,,0.1273302797513456,54,346,169,1.9824836707852134,0.02107428376012932,4.3282341562435525,0.09121443478896052,0.1273302797513456,0.7592592592592593,3.932947976878613
return_maxdd,pre_drop,val,p016,"strong>=0.6/conf2d, fixed_trailing@0.08, poly<0.55",False,,0.036066598261658145,21,74,60,1.842074591593697,0.024584240917273514,5.216325586687715,0.1282394049260689,0.036066598261658145,0.5714285714285714,7.151351351351352
return_maxdd,pre_drop,train,p017,"strong>=0.6/conf2d, close_vol_trailing@1.5, poly<0.55",False,,0.10862218268602941,63,346,126,1.8239101025695963,0.02107428376012932,3.7009778991366753,0.07799545843637357,0.10862218268602941,0.6190476190476191,4.5884393063583815
return_maxdd,pre_drop,val,p017,"strong>=0.6/conf2d, close_vol_trailing@1.5, poly<0.55",False,,-0.005492465319618778,26,74,52,-0.2250464556308332,0.051614145882901474,-0.35999498006995695,-0.018580833418442966,-0.005492465319618778,0.2692307692307692,8.854054054054053
return_maxdd,pre_drop,train,p018,"strong>=0.6/conf2d, close_vol_trailing@2, poly<0.55",False,,0.09718350386882402,58,346,134,1.5835808147344623,0.02107428376012932,3.3160390067342056,0.06988314698757403,0.09718350386882402,0.6379310344827587,4.224277456647399
return_maxdd,pre_drop,val,p018,"strong>=0.6/conf2d, close_vol_trailing@2, poly<0.55",False,,0.042994417116692274,24,74,52,1.968230580145622,0.028696125584278143,5.371371021602561,0.1541375373956595,0.042994417116692274,0.4166666666666667,8.172972972972973
return_maxdd,pre_drop,train,p019,"strong>=0.6/conf2d, close_vol_trailing@3, poly<0.55",False,,0.07792138803638005,55,346,156,1.246068698538833,0.04381683800064884,1.2819340518443414,0.05617029667717888,0.07792138803638005,0.6545454545454545,4.005780346820809
return_maxdd,pre_drop,val,p019,"strong>=0.6/conf2d, close_vol_trailing@3, poly<0.55",False,,0.08623298930255663,22,74,59,4.231471392197311,0.010778057919334616,30.186826057165067,0.3253553596450045,0.08623298930255663,0.5,7.491891891891893
return_maxdd,pre_drop,train,p020,"strong>=0.65/conf2d, none, poly<0.5",False,,0.09324053668469579,46,346,142,1.4579284580249792,0.049453249786772346,1.3564624651000052,0.06708147711297152,0.09324053668469579,0.7608695652173914,3.3502890173410402
return_maxdd,pre_drop,val,p020,"strong>=0.65/conf2d, none, poly<0.5",False,,0.07276703973214182,16,74,38,3.6263948233571206,0.012049990971463309,22.42597640937484,0.270232813259216,0.07276703973214182,0.5625,5.448648648648649
return_maxdd,pre_drop,train,p021,"strong>=0.65/conf2d, fixed@0.03, poly<0.5",False,,0.05977160599930742,46,346,142,1.0356340691068893,0.0494532497867719,0.8733153768574614,0.04318828347436088,0.05977160599930742,0.6956521739130435,3.3502890173410402
return_maxdd,pre_drop,val,p021,"strong>=0.65/conf2d, fixed@0.03, poly<0.5",False,,0.0653053135883197,18,74,54,3.235360591398802,0.014402959651936276,16.690749782248297,0.24039619567428638,0.0653053135883197,0.4444444444444444,6.129729729729729
return_maxdd,pre_drop,train,p022,"strong>=0.65/conf2d, fixed@0.05, poly<0.5",False,,0.060227133846587844,46,346,142,1.0388709183901341,0.0494532497867719,0.8799188072543902,0.04351484456722976,0.060227133846587844,0.717391304347826,3.3502890173410402
return_maxdd,pre_drop,val,p022,"strong>=0.65/conf2d, fixed@0.05, poly<0.5",False,,0.05955436421821392,18,74,54,3.1172133454804567,0.014402959651936165,15.117777028083099,0.2177407325624483,0.05955436421821392,0.4444444444444444,6.129729729729729
return_maxdd,pre_drop,train,p023,"strong>=0.65/conf2d, fixed@0.08, poly<0.5",False,,0.06850791101946441,46,346,142,1.1410804406246562,0.04945324978677246,0.9998248121197612,0.04944458617677139,0.06850791101946441,0.7391304347826086,3.3502890173410402
return_maxdd,pre_drop,val,p023,"strong>=0.65/conf2d, fixed@0.08, poly<0.5",False,,0.08309410013616403,17,74,54,4.070047618618083,0.01172650552731136,26.636948786835895,0.3123583271795407,0.08309410013616403,0.5882352941176471,5.789189189189189
return_maxdd,pre_drop,train,p024,"strong>=0.65/conf2d, fixed_trailing@0.03, poly<0.5",False,,0.07611434721184462,53,346,138,1.6880046155651758,0.01857935745700412,2.9538400199654165,0.054880449601741654,0.07611434721184462,0.6792452830188679,3.860115606936416
return_maxdd,pre_drop,val,p024,"strong>=0.65/conf2d, fixed_trailing@0.03, poly<0.5",False,,0.028967185009902918,24,74,49,1.6052602665798255,0.020177823334497025,5.061421365950408,0.10212846614359594,0.028967185009902918,0.375,8.172972972972973
return_maxdd,pre_drop,train,p025,"strong>=0.65/conf2d, fixed_trailing@0.05, poly<0.5",False,,0.06611443873559653,50,346,142,1.2187117688774118,0.028186169395208904,1.6934526440133284,0.04773194308692408,0.06611443873559653,0.72,3.6416184971098264
return_maxdd,pre_drop,val,p025,"strong>=0.65/conf2d, fixed_trailing@0.05, poly<0.5",False,,0.015103810439169418,23,74,54,0.8522569032581236,0.022688085038119254,2.3085045934057717,0.05237554852607906,0.015103810439169418,0.391304347826087,7.832432432432432
return_maxdd,pre_drop,train,p026,"strong>=0.65/conf2d, fixed_trailing@0.08, poly<0.5",False,,0.0925231680765084,48,346,142,1.612012789199773,0.03252687674573229,2.0466599798266567,0.0665714569042446,0.0925231680765084,0.75,3.4959537572254336
return_maxdd,pre_drop,val,p026,"strong>=0.65/conf2d, fixed_trailing@0.08, poly<0.5",False,,0.025007021778401972,18,74,54,1.3281725108332298,0.024584240917273847,3.569374902408861,0.08775037252489026,0.025007021778401972,0.4444444444444444,6.129729729729729
return_maxdd,pre_drop,train,p027,"strong>=0.65/conf2d, close_vol_trailing@1.5, poly<0.5",False,,0.08630611081731954,54,346,113,1.5474719090621967,0.022778508772638983,2.728341903115779,0.062147559974881306,0.08630611081731954,0.6481481481481481,3.932947976878613
