run_id,original_symbol,resolved_symbol,official_symbol,security_name,exchange,is_etf,match_method,rejection_reason,updated_at
5fb1a1cd-7513-4085-a0c4-499d66c205ab,ED,ED,ED,"Consolidated Edison, Inc. Common Stock",NYSE,False,exact_symbol,,2026-06-25 07:20:25.620225+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,EFX,EFX,EFX,"Equifax, Inc. Common Stock",NYSE,False,exact_symbol,,2026-06-25 07:20:25.628362+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,EL,EL,EL,"Estee Lauder Companies, Inc. (The) Common Stock",NYSE,False,exact_symbol,,2026-06-25 07:20:25.636358+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,ETOR,ETOR,ETOR,eToro Group Ltd. - Class A Common Shares,NASDAQ,False,exact_symbol,,2026-06-25 07:20:25.647610+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,ETSY,ETSY,ETSY,"Etsy, Inc. Common Stock",NYSE,False,exact_symbol,,2026-06-25 07:20:25.656311+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,EVR,EVR,EVR,Evercore Inc. Class A Common Stock,NYSE,False,exact_symbol,,2026-06-25 07:20:25.664757+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,EWBC,EWBC,EWBC,"East West Bancorp, Inc. - Common Stock",NASDAQ,False,exact_symbol,,2026-06-25 07:20:25.672287+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,EXPE,EXPE,EXPE,"Expedia Group, Inc. - Common Stock",NASDAQ,False,exact_symbol,,2026-06-25 07:20:25.680234+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,EZU,EZU,EZU,iShares MSCI Eurozone ETF,Cboe BZX,True,exact_symbol,,2026-06-25 07:20:25.688364+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,F,F,F,Ford Motor Company Common Stock,NYSE,False,exact_symbol,,2026-06-25 07:20:25.696240+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,FAST,FAST,FAST,Fastenal Company - Common Stock,NASDAQ,False,exact_symbol,,2026-06-25 07:20:25.706356+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,FCN,FCN,FCN,"FTI Consulting, Inc. Common Stock",NYSE,False,exact_symbol,,2026-06-25 07:20:25.718375+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,FDS,FDS,FDS,FactSet Research Systems Inc. Common Stock,NYSE,False,exact_symbol,,2026-06-25 07:20:25.728589+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,FDX,FDX,FDX,FedEx Corporation Common Stock,NYSE,False,exact_symbol,,2026-06-25 07:20:25.736363+00:00
